termin,pojazd,kto,lotnisko_z,lotnisko_do,latitude_deg_z,longitude_deg_z,iso_country_z,city_z,latitude_deg_do,longitude_deg_do,iso_country_do,city_do
03.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
03.2014,EMB,DT,EBBR,EIDW,50.901401519800004,4.48443984985,BE,Brussels,53.421299,-6.27007,IE,Dublin
03.2014,EMB,DT,EIDW,EPGD,53.421299,-6.27007,IE,Dublin,54.377601623535156,18.46619987487793,PL,Gdańsk
03.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPGD,EPKK,54.377601623535156,18.46619987487793,PL,Gdańsk,50.077702,19.7848,PL,Kraków
03.2014,EMB,DT,EPKK,EPGD,50.077702,19.7848,PL,Kraków,54.377601623535156,18.46619987487793,PL,Gdańsk
03.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPWA,EBBR,52.1656990051,20.967100143399996,PL,Warsaw,50.901401519800004,4.48443984985,BE,Brussels
03.2014,EMB,DT,EBBR,EPWA,50.901401519800004,4.48443984985,BE,Brussels,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPWA,EPGD,52.1656990051,20.967100143399996,PL,Warsaw,54.377601623535156,18.46619987487793,PL,Gdańsk
03.2014,EMB,DT,EPGD,EPWA,54.377601623535156,18.46619987487793,PL,Gdańsk,52.1656990051,20.967100143399996,PL,Warsaw
03.2014,EMB,DT,EPWA,LUKK,52.1656990051,20.967100143399996,PL,Warsaw,46.92770004272461,28.930999755859375,MD,Chişinău
