termin,pojazd,kto,lotnisko_z,lotnisko_do
12.2008,YK,DT,EPWA,EPKK
12.2008,YK,DT,EPKT,EPWA
12.2008,TU,DT,EPWA,EBBR
12.2008,TU,DT,EBBR,EPWA
12.2008,YK,DT,EPWA,EPGD
12.2008,YK,DT,EPWA,EPKT
12.2008,YK,DT,EPKT,EPWA
12.2008,YK,DT,EPWA,EPGD
12.2008,Bell,DT,EPGD,EPSK
12.2008,Bell,DT,EPSK,EPGD
12.2008,YK,DT,EPWA,EPGD
12.2008,YK,DT,EPGD,EPPO
12.2008,YK,DT,EPPO,EPGD
12.2008,YK,DT,EPWA,EPGD
01.2009,YK,DT,EPWA,LIPX
01.2009,YK,DT,LIPX,LZIB
01.2009,YK,DT,LZIB,LIPX
01.2009,YK,DT,LIPX,EPWA
01.2009,YK,DT,EPWA,EPGD
01.2009,YK,DT,EPWA,EPGD
01.2009,TU,DT,EPWA,LSZH
01.2009,TU,DT,LSZH,EPWA
01.2009,YK,DT,EPWA,EPGD
02.2009,YK,DT,EPWA,EPGD
02.2009,TU,DT,EPWA,EDDM
02.2009,TU,DT,EDDM,EPGD
02.2009,TU,DT,EPGD,EPWA
02.2009,YK,DT,EPWA,EPGD
02.2009,YK,DT,EPGD,EPWA
02.2009,YK,DT,EPWA,EPGD
02.2009,YK,DT,EPGD,EPWA
02.2009,YK,DT,EPGD,EPWA
02.2009,TU,DT,EPWA,EPKK
02.2009,TU,DT,EPKK,EPWA
02.2009,YK,DT,EPWA,EPGD
02.2009,YK,DT,EPWA,EPGD
02.2009,YK,DT,EPGD,EDDH
02.2009,YK,DT,EDDH,EPGD
02.2009,YK,DT,EPGD,EPWA
03.2009,TU,DT,EPWA,EPGD
03.2009,TU,DT,EPGD,EBBR
03.2009,TU,DT,EBBR,EPGD
03.2009,TU,DT,EPGD,EPWA
03.2009,YK,DT,EPWA,EPGD
03.2009,YK,DT,EPWA,EPGD
03.2009,TU,DT,EPWA,EBBR
03.2009,TU,DT,EBBR,EPWA
03.2009,YK,DT,EPWA,EPRA
03.2009,YK,DT,EPRA,EPGD
03.2009,Bell,DT,EPGD,EPSY
03.2009,Bell,DT,EPSY,EPWA
04.2009,YK,DT,EPWA,EPGD
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPWA,EPWR
04.2009,YK,DT,EPWA,EPWR
04.2009,YK,DT,EPWR,LKPR
04.2009,YK,DT,LKPR,EPGD
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPWA,EPGD
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPWA,EPKT
04.2009,YK,DT,EPKT,EPWA
04.2009,YK,DT,EPWA,EETN
04.2009,YK,DT,EETN,EFHK
04.2009,YK,DT,EFHK,EPGD
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPWA,EPGD
04.2009,YK,DT,EPGD,EPWA
04.2009,YK,DT,EPWA,EPGD
05.2009,YK,DT,EPGD,EPWA
05.2009,TU,DT,EPWA,LKPR
05.2009,TU,DT,LKPR,EPWA
05.2009,YK,DT,EPWA,EPPO
05.2009,YK,DT,EPPO,EPGD
05.2009,YK,DT,EPGD,EPWA
05.2009,YK,DT,EPWA,EPGD
05.2009,Śmigłowiec W-3,DT,EPWA,EPKB
06.2009,Śmigłowiec W-3,DT,EPWA,LUZ
06.2009,Śmigłowiec W-3,DT,LUZ,EPWA
06.2009,Śmigłowiec W-3,DT,EPWA,EPST
06.2009,Śmigłowiec W-3,DT,EPST,EPWA
06.2009,YK,DT,EPWA,EPKK
06.2009,YK,DT,EPKK,EPWA
06.2009,TU,DT,EPWA,EPKK
06.2009,TU,DT,EPKK,EPGD
06.2009,YK,DT,EPWA,EPKT
06.2009,YK,DT,EPKT,EPGD
06.2009,YK,DT,EPGD,EPWA
06.2009,YK,DT,EPGD,EPWA
06.2009,TU,DT,EPWA,EBBR
06.2009,TU,DT,EBBR,EPGD
06.2009,TU,DT,EPGD,EPWA
06.2009,YK,DT,EPGD,EPRZ
06.2009,YK,DT,EPRZ,EPWA
06.2009,YK,DT,EPWA,EPGD
06.2009,YK,DT,EPGD,EPRZ
06.2009,YK,DT,EPRZ,EPWR
06.2009,YK,DT,EPWR,EPWA
07.2009,YK,DT,EPWA,EPGD
07.2009,TU,DT,EPWA,UKBB
07.2009,TU,DT,UKBB,EPWA
07.2009,TU,DT,EPWA,EPGD
07.2009,TU,DT,EPWA,EPGD
07.2009,TU,DT,EPGD,EDWO
07.2009,TU,DT,EDWO,EPGD
07.2009,TU,DT,EPGD,EPWA
07.2009,YK,DT,EPGD,EPWA
07.2009,YK,DT,EPWA,EPGD
07.2009,YK,DT,EPWA,EPGD
08.2009,YK,DT,EPWA,EPGD
08.2009,YK,DT,EPWA,EPKT
08.2009,YK,DT,EPKT,EPWA
08.2009,YK,DT,EPWA,EPGD
08.2009,YK,DT,EPWA,EPGD
08.2009,YK,DT,EPWA,EPGD
08.2009,YK,DT,EPGD,EPWA
08.2009,YK,DT,EPWA,EPGD
09.2009,YK,DT,EPGD,EPWA
09.2009,YK,DT,EPWA,EPGD
09.2009,YK,DT,EPGD,EPWA
09.2009,YK,DT,EPWA,EPWR
09.2009,YK,DT,EPWR,EPWA
09.2009,YK,DT,EPWA,EPKK
09.2009,YK,DT,EPKK,EPWA
09.2009,YK,DT,EPWA,EPGD
09.2009,YK,DT,EPGD,EPWA
09.2009,YK,DT,EPWA,EBBR
09.2009,YK,DT,EHEH,EPGD
09.2009,YK,DT,EPGD,EPWA
09.2009,YK,DT,EPGD,EPWA
10.2009,TU,DT,EPWA,EDDT
10.2009,TU,DT,EDDT,EPGD
10.2009,TU,DT,EPGD,EPWA
10.2009,YK,DT,EPGD,EPWA
10.2009,YK,DT,EPWA,EPGD
10.2009,YK,DT,EPGD,EPWA
10.2009,TU,DT,EPWA,EPGD
10.2009,TU,DT,EPWA,EPGD
10.2009,TU,DT,EPGD,EBBR
10.2009,TU,DT,EBBR,EPWA
10.2009,TU,DT,EPWA,LMML
10.2009,TU,DT,LMML,LGAV
10.2009,TU,DT,LGAV,EPWA
10.2009,TU,DT,EPWA,EBBR
10.2009,TU,DT,EBBR,EPWA
10.2009,TU,DT,EPWA,EPGD
11.2009,TU,DT,EPWA,LFPG
11.2009,TU,DT,LFPG,EPWA
11.2009,YK,DT,EPWA,EPGD
11.2009,TU,DT,EPWA,EPGD
11.2009,TU,DT,EPGD,EDDT
11.2009,TU,DT,EDDT,EPWA
11.2009,YK,DT,EPWA,EPGD
11.2009,TU,DT,EPWA,EBBR
11.2009,TU,DT,EBBR,EPWA
11.2009,YK,DT,EPWA,EPGD
11.2009,YK,DT,EPWA,EPGD
11.2009,Śmigłowiec W-3,DT,EPWA,EPGD
11.2009,YK,DT,EPGD,EPWA
12.2009,YK,DT,EPWA,EPKK
12.2009,YK,DT,EPKK,EPGD
12.2009,YK,DT,EPGD,EPWA
12.2009,YK,DT,EPGD,EPWA
12.2009,YK,DT,EPWA,EDDK
12.2009,YK,DT,EDDK,EBBR
12.2009,YK,DT,EBBR,EPGD
12.2009,YK,DT,EPGD,EPWA
12.2009,YK,DT,EPGD,EPWA
12.2009,TU,DT,EPWA,EKCH
12.2009,TU,DT,EKCH,EPWA
12.2009,YK,DT,EPWA,EPGD
12.2009,YK,DT,EPWA,EPGD
12.2009,YK,DT,EPWA,EPGD
01.2010,YK,DT,EPWA,EPGD
01.2010,Bell,DT,EPWA,PL-0058
01.2010,Bell,DT,PL-0058,EPGD
01.2010,YK,DT,EPGD,EPWA
01.2010,YK,DT,EPWA,EPKK
01.2010,YK,DT,EPKK,EPWA
01.2010,Bell,DT,EPWA,EPKK
01.2010,YK,DT,EPWA,EPGD
02.2010,YK,DT,EPWA,EPGD
02.2010,YK,DT,EPGD,EPWA
02.2010,YK,DT,EPWA,EPGD
02.2010,YK,DT,EPGD,EPWA
02.2010,TU,DT,EPWA,EBBR
02.2010,TU,DT,EBBR,EPWA
02.2010,YK,DT,EPWA,EPGD
02.2010,YK,DT,EPGD,EPWA
02.2010,YK,DT,EPWA,EPGD
02.2010,TU,DT,EPWA,LHBP
02.2010,TU,DT,LHBP,EPWA
02.2010,YK,DT,EPWA,EPGD
03.2010,YK,DT,EPWA,EPGD
03.2010,YK,DT,EPOK,EPWA
03.2010,TU,DT,EPWA,UBBB
03.2010,TU,DT,UBBB,UGTB
03.2010,TU,DT,UGTB,UDYZ
03.2010,TU,DT,UDYZ,EPGD
03.2010,TU,DT,EPGD,EPWA
03.2010,YK,DT,EPGD,EPWA
03.2010,YK,DT,EPWA,EPGD
03.2010,TU,DT,EPWA,EBBR
03.2010,TU,DT,EBBR,EPWA
03.2010,YK,DT,EPWA,EPGD
04.2010,TU,DT,EPWA,RU-4069
04.2010,TU,DT,RU-4069,EPWA
04.2010,TU,DT,EPWA,LKPR
04.2010,TU,DT,LKPR,EPWA
04.2010,Bell,DT,EPWA,EPSY
04.2010,Bell,DT,EPSY,EPWA
04.2010,YK,DT,EPWA,EPGD
04.2010,YK,DT,EPWA,EPGD
04.2010,Śmigłowiec W-3,DT,EPWA,PL-0055
04.2010,Śmigłowiec W-3,DT,PL-0055,EPWA
04.2010,MI8,DT,EPWA,EPGD
04.2010,MI8,DT,EPGD,PL-0002
04.2010,MI8,DT,PL-0002,EPGD
04.2010,YK,DT,EPWA,EPGD
04.2010,YK,DT,EPWA,EPGD
04.2010,YK,DT,EPGD,EPWA
05.2010,YK,DT,EPWA,EPGD
05.2010,YK,DT,EPGD,EPWA
05.2010,YK,DT,EPWA,EPGD
05.2010,YK,DT,EPWA,EPGD
05.2010,YK,DT,EPGD,EPWA
05.2010,YK,DT,EPWA,EPKK
05.2010,YK,DT,EPKK,EPWA
05.2010,YK,DT,EPGD,EPWA
05.2010,YK,DT,EPWA,EPKK
05.2010,YK,DT,EPKK,EPWA
05.2010,YK,DT,EPWA,EPGD
05.2010,YK,DT,EPGD,EPWA
06.2010,YK,DT,EPWA,EPGD
06.2010,YK,DT,EPGD,EPWA
06.2010,YK,DT,EPWA,EPGD
06.2010,YK,DT,EPGD,EPWA
06.2010,YK,DT,EPWA,EPGD
06.2010,YK,DT,EPGD,EPWA
06.2010,EMB,DT,EPWA,EBBR
06.2010,EMB,DT,EBBR,EPWA
06.2010,YK,DT,EPWA,EPGD
06.2010,YK,DT,EPGD,EPWA
06.2010,EMB,DT,EPWA,EBBR
06.2010,EMB,DT,EBBR,EPWA
06.2010,EMB,DT,EPWA,EPKT
06.2010,EMB,DT,EPKT,EPGD
06.2010,YK,DT,EPGD,EPWA
06.2010,YK,DT,EPWA,EPKT
06.2010,YK,DT,EPKT,EPWA
06.2010,YK,DT,EPWA,EPGD
07.2010,YK,DT,EPGD,EPWA
07.2010,EMB,DT,EPWA,LDDU
07.2010,EMB,DT,LDDU,EPGD
07.2010,EMB,DT,EPGD,EPWA
07.2010,YK,DT,EPWA,EPGD
07.2010,EMB,DT,EPWA,LHBP
07.2010,EMB,DT,LHBP,EPWA
07.2010,EMB,DT,EPWA,LKPR
07.2010,EMB,DT,LKPR,EPWA
07.2010,EMB,DT,EPWA,EPGD
07.2010,YK,DT,EPWA,EPGD
08.2010,YK,DT,EPWA,EPGD
08.2010,YK,DT,EPWA,EPGD
08.2010,YK,DT,EPWA,EPKK
08.2010,YK,DT,EPKK,EPWA
08.2010,YK,DT,EPWA,EPGD
08.2010,YK,DT,EPWA,EPGD
08.2010,YK,DT,EPGD,EPWA
09.2010,YK,DT,EPGD,EPWA
09.2010,YK,DT,EPWA,EPGD
09.2010,YK,DT,EPMI,EPWA
09.2010,EMB,DT,EPWA,EBBR
09.2010,EMB,DT,EBBR,EPWA
09.2010,EMB,DT,EDDT,EPGD
09.2010,EMB,DT,EPGD,EPWA
09.2010,YK,DT,EPGD,EPWA
09.2010,YK,DT,EPWA,EPGD
10.2010,EMB,DT,EPWA,EPSC
10.2010,EMB,DT,EPSC,EPGD
10.2010,EMB,DT,EPGD,EPWA
10.2010,EMB,DT,EPWA,EPSZ
10.2010,Śmigłowiec W-3,DT,EPSZ,EDAH
10.2010,Śmigłowiec W-3,DT,EDAH,EPSZ
10.2010,EMB,DT,EPWA,EBBR
10.2010,EMB,DT,EBBR,EPWA
10.2010,YK,DT,EPWA,EPGD
10.2010,YK,DT,EPGD,EPWA
10.2010,YK,DT,EPWA,EPGD
10.2010,EMB,DT,EPWA,LBWN
10.2010,EMB,DT,LBWN,EPWA
10.2010,Bell,DT,EPWA,EPGD
10.2010,Bell,DT,EPGD,EPWA
10.2010,EMB,DT,EPWA,EBBR
10.2010,EMB,DT,EBBR,EPGD
10.2010,EMB,DT,EPGD,EPWA
10.2010,EMB,DT,EPWA,EBBR
10.2010,EMB,DT,EBBR,EPWA
11.2010,Śmigłowiec W-3,DT,EPWA,PL-0122
11.2010,Śmigłowiec W-3,DT,PL-0122,EPKW
11.2010,Śmigłowiec W-3,DT,EPKW,EPWA
11.2010,EMB,DT,EPWA,EPGD
11.2010,EMB,DT,EPGD,EPWA
11.2010,Bell,DT,EPWA,EPOM
11.2010,Bell,DT,EPOM,EPKB
11.2010,Bell,DT,EPKB,EPWA
11.2010,EMB,DT,EPWA,EPRZ
11.2010,EMB,DT,EPRZ,EPWA
11.2010,EMB,DT,EPWA,EPRZ
11.2010,Śmigłowiec W-3,DT,EPRZ,EPLS
11.2010,Śmigłowiec W-3,DT,EPLS,EPRZ
11.2010,EMB,DT,EPWA,EPGD
11.2010,EMB,DT,EPWA,EPWR
11.2010,EMB,DT,EPWR,EPWA
11.2010,YK,DT,EPWA,EPKK
11.2010,YK,DT,EPKK,EPWA
11.2010,EMB,DT,EPKT,EPWA
11.2010,EMB,DT,EPWA,EPGD
11.2010,EMB,DT,EPGD,EPWA
11.2010,YK,DT,EPWA,EPLL
11.2010,YK,DT,EPLL,EPBY
11.2010,YK,DT,EPBY,EPGD
11.2010,YK,DT,EPGD,EPKK
11.2010,YK,DT,EPKK,EPGD
11.2010,YK,DT,EPGD,EPSZ
11.2010,YK,DT,EPSZ,EPGD
12.2010,EMB,DT,EPWA,EPGD
12.2010,EMB,DT,EPGD,EPWA
12.2010,EMB,DT,EPWA,EDDT
12.2010,EMB,DT,EDDT,EPWA
12.2010,EMB,DT,EPWA,LTAC
12.2010,EMB,DT,LTAC,LTBA
12.2010,EMB,DT,LTBA,EPWA
12.2010,EMB,DT,EPWA,EPGD
12.2010,EMB,DT,EPWA,EBBR
12.2010,EMB,DT,EBBR,EPWA
12.2010,EMB,DT,EPWA,EPGD
12.2010,YK,DT,EPGD,EPWA
12.2010,EMB,DT,EPWA,EPGD
11.2010,YK,DT,EPGD,EPWA
12.2010,EMB,DT,EPWA,EPGD
01.2011,EMB,DT,EPWA,EPGD
01.2011,EMB,DT,EPGD,EPWA
01.2011,EMB,DT,EPWA,EPGD
01.2011,EMB,DT,EPWA,LIPX
01.2011,EMB,DT,LIPX,EPWA
01.2011,EMB,DT,EPGD,EPWA
01.2011,EMB,DT,EPWA,EPGD
01.2011,EMB,DT,EPWA,EPGD
01.2011,EMB,DT,EPGD,EBBR
01.2011,EMB,DT,EBBR,EPWA
01.2011,EMB,DT,EPGD,EPWA
01.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPGD,EPWA
02.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPGD,EBBR
02.2011,EMB,DT,EBBR,EPGD
02.2011,EMB,DT,EPGD,EPWA
02.2011,EMB,DT,EPGD,EPWA
02.2011,EMB,DT,EPWA,LZIB
02.2011,EMB,DT,LZIB,EPWA
02.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPWA,EPGD
02.2011,EMB,DT,EPWA,LLBG
02.2011,EMB,DT,LLBG,EPWA
02.2011,EMB,DT,EPWA,ENGM
02.2011,EMB,DT,ENGM,EPGD
02.2011,EMB,DT,EPGD,EPWA
03.2011,EMB,DT,EPWA,EPKK
03.2011,EMB,DT,EPKK,EPGD
03.2011,EMB,DT,EPGD,EPWA
03.2011,EMB,DT,EPWA,LETO
03.2011,EMB,DT,LETO,LEMD
03.2011,EMB,DT,LEMD,EBBR
03.2011,EMB,DT,EBBR,EPWA
03.2011,EMB,DT,EPWA,EPGD
03.2011,EMB,DT,EPGD,EPWA
03.2011,EMB,DT,EPWA,EBBR
03.2011,EMB,DT,EBBR,EPWA
03.2011,EMB,DT,EPWA,LUKK
03.2011,EMB,DT,LUKK,EPWA
03.2011,EMB,DT,EPWA,LFPG
03.2011,EMB,DT,LFPG,EPGD
03.2011,EMB,DT,EPGD,EPWA
03.2011,EMB,DT,EPWA,EPSC
03.2011,EMB,DT,EPSC,EPWA
03.2011,EMB,DT,EPWA,EPSZ
03.2011,Śmigłowiec W-3,DT,EPSZ,EDAH
03.2011,Śmigłowiec W-3,DT,EDAH,EPSZ
03.2011,EMB,DT,EPWA,EPGD
03.2011,EMB,DT,EPGD,EPWA
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPWA,LOWW
04.2011,EMB,DT,LOWW,EPWA
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPGD,EPWA
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPWA,UKBB
04.2011,EMB,DT,UKBB,EPWA
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPGD,EGLL
04.2011,EMB,DT,EGLL,EPWA
04.2011,EMB,DT,EPWA,EPGD
04.2011,EMB,DT,EPGD,EPWA
05.2011,Śmigłowiec W-3,DT,EPWA,EPKK
05.2011,Śmigłowiec W-3,DT,EPKK,EPWA
05.2011,Śmigłowiec W-3,DT,EPWA,EPGD
05.2011,EMB,DT,EPWA,LYPG
05.2011,EMB,DT,LYPG,LYBE
05.2011,EMB,DT,LYBE,LDZA
05.2011,EMB,DT,LDZA,EPGD
05.2011,EMB,DT,EPGD,EPWA
05.2011,EMB,DT,EPGD,EPWA
05.2011,Śmigłowiec W-3,DT,EPWA,EPST
05.2011,Śmigłowiec W-3,DT,EPST,EPNL
05.2011,Śmigłowiec W-3,DT,EPNL,EPKT
05.2011,EMB,DT,EPKT,EPGD
05.2011,EMB,DT,EPGD,EPWA
05.2011,EMB,DT,EPWA,EPGD
05.2011,EMB,DT,EPWA,EPGD
05.2011,EMB,DT,EPGD,EPKT
05.2011,EMB,DT,EPKT,EPWA
05.2011,EMB,DT,EPWA,EPGD
05.2011,EMB,DT,EPGD,EPWA
05.2011,EMB,DT,EPWA,EPGD
05.2011,EMB,DT,EPGD,EBBR
05.2011,EMB,DT,EBBR,EPWA
05.2011,EMB,DT,EPWA,EPGD
05.2011,EMB,DT,EPGD,EPWA
06.2011,Bell,DT,EPWA,EPIN
06.2011,Bell,DT,EPIN,EPWA
06.2011,Śmigłowiec W-3,DT,EPWA,EPWK
06.2011,Śmigłowiec W-3,DT,EPWK,EPWA
06.2011,EMB,DT,EPWA,LFPG
06.2011,EMB,DT,LFPG,EPWA
06.2011,EMB,DT,EPWA,EPGD
06.2011,EMB,DT,EPGD,EPWA
06.2011,EMB,DT,EPWA,EPGD
06.2011,EMB,DT,EPGD,EPWA
06.2011,EMB,DT,EPWA,LZIB
06.2011,EMB,DT,LZIB,EPWA
06.2011,EMB,DT,EPWA,EPGD
06.2011,EMB,DT,EPGD,EPWA
06.2011,EMB,DT,EPWA,EBBR
06.2011,EMB,DT,EBBR,EPWA
06.2011,EMB,DT,EPWA,EPGD
06.2011,EMB,DT,EPGD,EPWA
07.2011,EMB,DT,EPWA,EPGD
07.2011,EMB,DT,EPGD,EPWA
07.2011,EMB,DT,EPWA,LFST
07.2011,EMB,DT,LFST,EPWA
07.2011,EMB,DT,EPWA,EPGD
07.2011,EMB,DT,EPGD,EPWA
07.2011,Śmigłowiec W-3,DT,EPWA,EPSY
07.2011,Śmigłowiec W-3,DT,EPSY,EPWA
07.2011,EMB,DT,EPWA,LKPR
07.2011,EMB,DT,LKPR,EPWA
07.2011,Śmigłowiec W-3,DT,EPKK,EPNT
07.2011,Śmigłowiec W-3,DT,EPNT,EPWA
07.2011,Śmigłowiec W-3,DT,EPWA,EPRZ
07.2011,Śmigłowiec W-3,DT,EPRZ,EPWA
07.2011,EMB,DT,EPWA,EPKK
07.2011,EMB,DT,EPRZ,EPGD
07.2011,Śmigłowiec W-3,DT,EPWA,EPBK
07.2011,Śmigłowiec W-3,DT,EPBK,EPWA
07.2011,EMB,DT,EPWA,EPGD
07.2011,TU,DT,EPGD,EPWA
07.2011,EMB,DT,EPWA,EPKK
07.2011,EMB,DT,EPKK,EPGD
07.2011,EMB,DT,EPGD,EPKK
07.2011,Śmigłowiec W-3,DT,EPKK,EPNL
07.2011,Śmigłowiec W-3,DT,EPNL,EPKK
08.2011,EMB,DT,EPWA,EPGD
08.2011,Inny,DT,EPWA,EPGD
08.2011,Inny,DT,EPGD,EPWA
08.2011,EMB,DT,EPWA,EPGD
08.2011,EMB,DT,EPGD,EPWA
08.2011,EMB,DT,EPWA,EPGD
08.2011,EMB,DT,EPWA,EPWR
08.2011,EMB,DT,EPWR,EPGD
08.2011,EMB,DT,EPGD,EPWA
08.2011,EMB,DT,EPWA,EBBR
