"","ID","Title","Year","Rating.x","Runtime","Genre","Director","Metacritic","imdbRating","Language","Country","Oscars","Rating.y","Meter","userMeter","userRating","BoxOffice"
"9405",989000,"In Search of a Midnight Kiss",2007,"",90,"Comedy, Romance","Alex Holdridge",64,7.3,"English","USA",0,7,85,79,3.8,NA
"9406",989618,"Beyond Belief",2007,"",92,"Documentary","Beth Murphy",NA,7,"English","USA",0,6.7,91,92,4.2,NA
"9407",989757,"Dear John",2010,"PG-13",108,"Drama, Romance, War","Lasse Hallström",43,6.2,"English","USA",0,4.4,28,55,2.9,79600000
"9408",990376,"Sarah Landon and the Paranormal Hour",2007,"PG",81,"Family, Horror, Mystery","Lisa Comrie",30,3.9,"English","USA",0,3.1,0,25,2.7,8e+05
"9409",990404,"Chop Shop",2007,"Unrated",84,"Drama","Ramin Bahrani",83,7.3,"English","USA",0,7.9,96,76,3.7,NA
"9410",990407,"The Green Hornet",2011,"PG-13",119,"Action, Comedy, Crime","Michel Gondry",39,5.9,"English, Mandarin","USA",0,5.2,43,44,3.1,98800000
"9411",990413,"Sugar",2008,"R",114,"Drama, Sport","Anna Boden, Ryan Fleck",82,7.2,"Spanish, English","USA, Dominican Republic",0,7.8,93,80,3.7,1e+06
"9412",991167,"Ping Pong Playa",2007,"PG-13",96,"Comedy, Sport","Jessica Yu",55,6,"English","USA",0,6,66,50,3.2,NA
"9413",992911,"Flash Point",2007,"R",88,"Action","Wilson Yip",38,6.8,"Cantonese, English, Vietnamese","Hong Kong, China",0,5.5,40,68,3.6,1e+05
"9414",993776,"Nuremberg: The 60th Anniversary Director's Cut",2007,"",120,"Documentary","Pare Lorentz, Sean Stone",NA,5.2,"","",0,7.7,91,86,3.7,NA
"9415",993789,"A Christmas Tale",2008,"Not Rated",150,"Comedy, Drama","Arnaud Desplechin",84,7.2,"French","France",0,7.5,86,66,3.4,9e+05
"9416",993842,"Hanna",2011,"PG-13",111,"Action, Adventure, Thriller","Joe Wright",65,6.8,"English, French, German, Italian, Arabic, Spanish","USA, UK, Germany",0,6.9,72,66,3.5,40200000
"9417",993846,"The Wolf of Wall Street",2013,"R",180,"Biography, Comedy, Crime","Martin Scorsese",75,8.5,"English, French","USA",0,7.7,77,84,4.1,116300000
"9418",995039,"Ghost Town",2008,"PG-13",102,"Comedy, Fantasy, Romance","David Koepp",72,6.8,"English","USA",0,6.9,85,61,3.3,13200000
"9419",995061,"The Business of Being Born",2008,"",87,"Documentary","Abby Epstein",68,7.3,"English","USA",0,6.7,81,86,3.9,NA
"9420",995740,"No Smoking",2007,"",128,"Drama, Thriller","Anurag Kashyap",NA,7,"Hindi, English","India",0,4.8,50,63,3.4,NA
"9421",995829,"XXY",2007,"Unrated",86,"Drama","Lucía Puenzo",67,7.2,"Spanish","Argentina, Spain, France",0,6.8,82,80,3.8,NA
"9422",995850,"Vision",2009,"Unrated",110,"Biography, Drama","Margarethe von Trotta",68,6.4,"German, Latin","Germany, France",0,6.9,81,69,3.6,4e+05
"9423",996605,"Love Songs",2007,"",100,"Drama, Musical, Romance","Christophe Honoré",70,7.2,"French","France",0,5.9,59,78,3.9,NA
"9424",996966,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation!",2008,"R",103,"Documentary","Mark Hartley",76,7.7,"English","Australia, USA",0,7.4,94,79,3.8,NA
"9425",997047,"College Road Trip",2008,"G",83,"Adventure, Comedy, Drama","Roger Kumble",36,4.1,"English","USA",0,3.3,13,51,3.3,45600000
"9426",997147,"Big Man Japan",2007,"PG-13",113,"Comedy, Sci-Fi","Hitoshi Matsumoto",62,6.4,"Japanese","Japan",0,6.4,78,55,3,NA
"9427",997167,"Midnight Eagle",2007,"",132,"Action","Izuru Narushima",42,5.4,"Japanese, English","Japan",0,4.5,31,39,3.2,NA
"9428",997233,"Without the King",2007,"",83,"Documentary","Michael Skolnik",55,7.1,"English","USA",0,7.4,95,76,3.6,NA
"9429",997246,"The Song of Sparrows",2008,"PG",96,"Drama","Majid Majidi",74,8,"Persian, Azerbaijani","Iran",0,7.4,98,86,3.9,NA
"9430",997263,"Unmade Beds",2009,"",97,"Comedy, Drama","Alexis Dos Santos",66,6.6,"English, French, Spanish","UK",0,6.2,74,69,3.6,NA
"9431",999913,"Straw Dogs",2011,"R",110,"Thriller","Rod Lurie",45,5.8,"English","USA",0,5.2,41,34,2.8,10300000
"9432",1000769,"Prince of Broadway",2008,"",100,"Drama","Sean Baker",57,6.7,"English","USA",0,6.9,83,83,3.6,20400
"9433",1000771,"Recount",2008,"TV-MA",116,"Drama, History","Jay Roach",NA,7.5,"English","USA",0,6.4,76,81,3.8,NA
"9434",1000774,"Sex and the City",2008,"R",145,"Comedy, Drama, Romance","Michael Patrick King",53,5.4,"English","USA",0,5.5,49,77,3.8,152600000
"9435",1001508,"He's Just Not That Into You",2009,"PG-13",129,"Comedy, Drama, Romance","Ken Kwapis",47,6.4,"English","USA, Germany, Netherlands",0,5.1,41,60,3.4,93900000
"9436",1001526,"Megamind",2010,"PG",95,"Animation, Action, Comedy","Tom McGrath",63,7.3,"English","USA",0,6.7,73,71,3.8,148200000
"9437",1001540,"Perestroika",2009,"",116,"Drama","Slava Tsukerman",NA,4.4,"English","USA, Russia",0,5.9,54,36,2.6,NA
"9438",1001562,"Witless Protection",2008,"PG-13",97,"Comedy, Crime","Charles Robert Carner",17,3,"English","USA",0,2.1,3,46,3.1,4100000
"9439",1002535,"Bomb It",2007,"",93,"Documentary","Jon Reiss",NA,7.3,"English, French, German, Japanese, Spanish","USA",0,7.1,87,79,3.8,NA
